"Project name","hyde"
"Date range","06/15/2026 00:00 - 09/22/2026 23:59"


":","Yes"
":","Yes"

"Metric","Number of requests","37315"
"Metric","Share of total traffic","100%"
"Metric","Unique pages requested","100%"
"Metric","Violations","1.35%"

"Metric","Bot operator","Requests","Percentage"
"","/_next/static/chunks/1g3lr30go2myx.js","39","0.1%"
"","/_next/static/chunks/1l39wmfdj2aaz.js","39","0.1%"
"","/es/__next.es.txt","38","0.1%"
"","/_next/static/chunks/turbopack-288rme5q05axf.js","36","0.1%"
"","/products/brass-steel-hinges/","35","0.09%"
"","/_next/static/chunks/0as4uua3rdio6.css","34","0.09%"
"","/images/editorial/guides-reference-desk-1600.webp","33","0.09%"
"","/company/","32","0.09%"
"","/images/brand/hyde/hyde-logo-horizontal-white.svg","31","0.08%"
"","/pt/__next.pt.txt","31","0.08%"
"","/_next/static/chunks/0hyqqna0knhj2.js","30","0.08%"
"","/pt/__next._tree.txt","29","0.08%"
"","/configurator/__next.!KGVuKQ.configurator.__PAGE__.txt","29","0.08%"
"","/_next/static/chunks/3gpvfhl9ee9fx.js","28","0.08%"
"","/products/lock-cylinders/70sn-lock-cylinder/__next.!KGVuKQ.products.$d$category.$d$slug.__PAGE__.txt","28","0.08%"
"","/products/brass-steel-hinges/stainless-steel-door-hinge/__next.!KGVuKQ.products.$d$category.$d$slug.__PAGE__.txt","28","0.08%"

"Metric","Request status","Requests","Percentage"
"","Successful request","28469","76.29%"
"","Redirected request","7182","19.25%"
"","Unsuccessful request","1664","4.46%"

"Metric","Average scrape-to-referral ratio","Referrals","Scrapes"
"Average scrape-to-referral ratio","4 : 1","26","95"
"OpenAI","4 : 1","26","95"

"Metric","Page classification","Requests","Percentage"
"","Product","16627","59.43%"
"","Homepage","4487","16.04%"
"","Unknown","3013","10.77%"
"","Contact Us","1979","7.07%"
"","News & Articles","1211","4.33%"
"","Product Catalog","552","1.97%"
"","Website Information","79","0.28%"
"","Sign In","12","0.04%"
"","Sign Up","7","0.03%"
"","Search","3","0.01%"
"","Account","3","0.01%"
"","Blog","3","0.01%"
"","Checkout","1","< 0.01%"
