# ----------------------------------------
# 事件: 事件名称
# 账号：hyde数据看板
# 媒体资源：cantonlock
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260624
# 结束日期：20260921
事件名称,事件数,用户总数,每位活跃用户的事件数,总收入
page_view,7036,3657,1.9239814055236533,0
session_start,3913,3659,1.069710224166211,0
first_visit,3656,3656,1,0
scroll,2708,2438,1.110746513535685,0
user_engagement,814,383,2.136482939632546,0
click,66,16,4.125,0
form_start,26,11,2.3636363636363638,0
file_download,5,4,1.25,0
