# ----------------------------------------
# 技术详情: 操作系统
# 账号：hyde数据看板
# 媒体资源：cantonlock
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260624
# 结束日期：20260921
操作系统,活跃用户,新用户数,感兴趣的会话数,感兴趣的会话占比,每位活跃用户的感兴趣会话数,每位活跃用户的平均互动时长,事件数,关键事件数,总收入
Windows,3348,3261,374,0.10386003887808942,0.11170848267622462,17.622759856630825,16189,0,0
Macintosh,214,211,29,0.1228813559322034,0.13551401869158877,12.434579439252337,841,0,0
iOS,116,116,84,0.5454545454545454,0.7241379310344828,44.206896551724135,841,0,0
Android,46,42,32,0.5517241379310345,0.6956521739130435,51.43478260869565,255,0,0
Linux,21,20,1,0.047619047619047616,0.047619047619047616,1.1428571428571428,64,0,0
(not set),3,3,1,0.3333333333333333,0.3333333333333333,17.333333333333332,24,0,0
Chrome OS,3,3,0,0,0,0.3333333333333333,10,0,0
