# ----------------------------------------
# 用户获取情况: 带来用户首次互动的主渠道组（默认渠道组）
# 账号：hyde数据看板
# 媒体资源：cantonlock
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260624
# 结束日期：20260921
带来用户首次互动的主渠道组（默认渠道组）,用户总数,新用户数,回访用户数,每位活跃用户的平均互动时长,每位活跃用户的感兴趣会话数,事件数,关键事件数,用户关键事件率
Direct,3509,3430,28,16.447263397947548,0.09236031927023945,16640,0,0
Referral,120,120,8,34.858333333333334,0.8166666666666667,767,0,0
Organic Search,61,61,10,97.11475409836065,0.9180327868852459,531,0,0
Unassigned,59,0,0,2.389830508474576,0,63,0,0
AI Assistant,25,25,1,34.2,0.64,136,0,0
Organic Social,15,15,0,22,0.6,66,0,0
Cross-network,5,5,0,20.6,0.2,21,0,0
