# ----------------------------------------
# 技术详情: 浏览器
# 账号：hyde数据看板
# 媒体资源：cantonlock
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260624
# 结束日期：20260921
浏览器,活跃用户,新用户数,感兴趣的会话数,感兴趣的会话占比,每位活跃用户的感兴趣会话数,每位活跃用户的平均互动时长,事件数,关键事件数,总收入
Chrome,3554,3466,300,0.08134490238611713,0.08441193021947102,6.487900956668542,14206,0,0
Safari (in-app),65,65,42,0.6086956521739131,0.6461538461538462,28.907692307692308,370,0,0
Edge,52,51,120,0.547945205479452,2.3076923076923075,794.8076923076923,3195,0,0
Safari,45,45,30,0.4838709677419355,0.6666666666666666,59.53333333333333,323,0,0
Android Webview,14,14,5,0.35714285714285715,0.35714285714285715,8.785714285714286,62,0,0
Firefox,10,10,7,0.6363636363636364,0.7,14.4,51,0,0
(not set),2,2,0,0,0,0,6,0,0
Samsung Internet,2,2,1,0.5,0.5,10,8,0,0
Mozilla Compatible Agent,1,1,0,0,0,0,3,0,0
