"Project name","hyde"
"Date range","06/15/2026 00:00 - 09/22/2026 23:59"


":","Yes"
":","Yes"

"Metric","Request status","Requests","Percentage"
"","Successful request","4473","67.37%"
"","Redirected request","1779","26.80%"
"","Unsuccessful request","387","5.83%"

"Metric","Average scrape-to-referral ratio","Referrals","Scrapes"
"Average scrape-to-referral ratio","4 : 1","26","95"
"OpenAI","4 : 1","26","95"

"Metric","Page classification","Requests","Percentage"
"","Product","2595","45.83%"
"","Homepage","1530","27.02%"
"","Unknown","762","13.46%"
"","Contact Us","449","7.93%"
"","News & Articles","208","3.67%"
"","Product Catalog","91","1.61%"
"","Website Information","24","0.42%"
"","Search","2","0.04%"
"","Sign In","1","0.02%"
