国家/地区,展示
美国,44
印度,25
澳大利亚,15
西班牙,15
菲律宾,10
泰国,8
加拿大,7
新加坡,7
中国香港,6
印度尼西亚,6
马来西亚,6
亚美尼亚,5
德国,5
英国,5
巴基斯坦,5
乌拉圭,5
南非,5
阿拉伯联合酋长国,4
阿根廷,4
意大利,4
台湾,4
越南,4
厄瓜多尔,3
缅甸,3
奥地利,2
孟加拉,2
保加利亚,2
巴西,2
智利,2
中国,2
多米尼加共和国,2
爱尔兰,2
日本,2
韩国,2
科威特,2
墨西哥,2
尼日利亚,2
荷兰,2
新西兰,2
秘鲁,2
巴布亚新几内亚,2
俄罗斯,2
沙特阿拉伯,2
土耳其,2
委内瑞拉,2
白俄罗斯,1
哥伦比亚,1
埃及,1
埃塞俄比亚,1
希腊,1
匈牙利,1
老挝,1
斯里兰卡,1
摩洛哥,1
波多黎各,1
巴拉圭,1
罗马尼亚,1
瑞典,1
叙利亚,1
